nr_zadania	czas_przybycia	czas_wykonania	wymagany_czas_zakonczenia
1	0	2	2
2	0	6	6
3	0	10	12
4	0	6	8
5	1	4	5
6	1	9	11
7	2	8	15
8	2	3	6
9	2	2	5
10	2	10	15
11	3	2	7
12	3	9	20
13	3	9	15
14	3	10	15
15	4	7	18
16	4	7	11
17	4	3	8
18	5	3	10
19	5	3	10
20	5	2	8
21	5	6	21
22	6	10	17
23	6	6	25
24	6	6	19
25	6	6	15
26	6	5	24
27	6	7	17
28	7	3	12
29	7	7	26
30	7	10	14
31	7	3	19
32	7	5	16
33	7	10	20
34	7	1	10
35	7	3	35
36	7	7	31
37	8	7	25
38	8	10	29
39	8	10	40
40	8	4	20
41	8	6	26
42	8	1	25
43	8	8	27
44	9	3	19
45	9	8	40
46	9	6	26
47	9	1	35
48	10	8	28
49	10	8	30
50	10	4	30
